slang;formal
ngebuktiin;membuktikan
yah;ya
dr;dari
ak;aku
prawatan;perawatan
utk;untuk
lbh;lebih
mbk;mbak
aj;saja
y;ya
mkin;makin
cntk;cantik
sj;saja
yg;yang
gak;tidak
mo;mau
pnya;punya
gak;tidak
mslh;masalah
dimao;dimau
gak;tidak
hrs;harus
klo;kalau
cm;cuma
utk;untuk
dapetin;mendapati
wjh;wajah
pantes;pantas
dijadiin;dijadikan
prwtn;perawatan
dr;dari
udah;sudah
yg;yang
yg;yang
ny;nya
uda;sudah
pd;pada
pake;pakai
silahkn;silakan
dl;dulu
ak;aku
ajha;saja
utk;untuk
silahkan;silakan
kaka;kakak
yuuk;yuk
kasiatnya;khasiatnya
iyah;iya
nyaranin;menyarankan
rekomendasiin;merekomendasikan
udah;sudah
"minyak""an";minyak-minyakan
gitu;begitu
ga;tidak
pake;pakai
bgt;banget
gak;tidak
suksess;sukses
slalu;selalu
ka;kak
jg;juga
gak;tidak
seneng;senang
ka;kak
makasih;terima kasih
udh;sudah
rekomendasiin;merekomendasikan
pede;percaya diri
ga;tidak
nyangka;menyangka
prodak;produk
prodak;produk
ga;tidak
nyesel;menyesal
ga;tidak
trasa;terasa
minpi;mimpi
bner2;benar-benar
gak;tidak
nyangka;menyangka
gak;tidak
mutihin;memutihkan
ak;aku
gak;tidak
ka;kak
gak;tidak
makasih;terima kasih
gak;tidak
th;tahun
udh;sudah
jd;jadi
th;tahun
msh;masih
smster;semester
sdh;sudah
th;tahun
udah;sudah
woww;wow
ntar;entar
thn;tahun
emang;memang
th;tahun
uga;juga
kmren;kemarin
lucuu;lucu
ucull;lucu
aamiin;amin
"ngomong""";ngomong-ngomong
thn;tahun
udehh;sudah
sampe;sampai
skrang;sekarang
ucul;lucu
bnr;benar
lucuk;lucu
smg;semoga
lucuu;lucu
lucuuu;lucu
bgt;banget
bkn;bukan
yaaa;ya
jan;jangan
jd;jadi
yaa;ya
thn;tahun
masi;masih
pakek;pakai
pake;pakai
kk;kakak
pakek;pakai
orng;orang
orng;orang
pakek;pakai
yah;ya
kk;kakak
ka;kak
klo;kalau
pke;pakai
cntik;cantik
syngnya;sayangnya
klo;kalau
bnr;benar
pake;pakai
tauu;tau
dipermainin;dipermainkan
bngt;banget
kl;kalau
kasiatnya;khasiatnya
kocakkk;kocak
pake;pakai
hijabb;hijab
dasarrr;dasar
ajaaa;saja
tp;tapi
jgn;jangan
waaaaw;wow
bngt;banget
kk;kakak
klau;kalau
cannnnntikkkkkkk;cantik
bangettt;banget
mukax;mukanya
gitu;begitu
cantikx;cantiknya
fatanik;fanatik
bngt;banget
mba;mbak
jgn;jangan
pake;pakai
protestin;protestan
bkn;bukan
protestin;protestan
kakau;kalau
yg;yang
kk;kakak
slh;salah
marh;marah
kk;kakak
bener;benar
ka;kak
pk;pakai
ka;kak
emngnya;memangnya
pakek;pakai
cantiknyaa;cantiknya
klo;kalau
pke;pakai
darpada;daripada
bgt;banget
cooooooocok;cocok
klw;kalau
pkk;pakai
jgn;jangan
ka;kak
kaka;kakak
kaka;kakak
sling;saling
pake;pakai
ga;tidak
kk;kakak
pake;pakai
agama'ny;agamanya
yg;yang
bilng;bilang
tp;tapi
aq;aku
gk;tidak
prcy;percaya
klw;kalau
kk;kakak
kk;kakak
org;orang
pantes;pantas
emang;memang
tetep;tetap
lurusin;meluruskan
kk;kakak
pake;pakai
gak;tidak
gimana;bagaimana
gak;tidak
aja;saja
aja;saja
tp;tapi
bgt;banget
d;di
pake;pakai
aja;saja
biri;biru
bgt;banget
d;di
pake;pakai
jd;jadi
yg;yang
nti;nanti
aamiin;amin
kaa;kak
gmn;bagaimana
blm;belum
prnh;pernah
yg;yang
pake;pakai
luco;lucu
woow;wow
aq;aku
jg;juga
ultha;ultah
aja;saja
yuuu;yuk
batikk;batik
alloh;allah
q;ku
jdi;jadi
gemes;gemas
yg;yang
aja;saja
pake;pakai
arab2;arab-arab
sm;sama
yg;yang
arab2;arab-arab
gitu;begitu
kl;kalau
udah;sudah
yg;yang
pake;pakai
aja;saja
makasi;terima kasih
donk;dong
aja;saja
jd;jadi
yg;yang
blm;belum
dipake;dipakai
ama;sama
anak2;anak-anak
yg;yang
aja;saja
syg;sayang
udh;sudah
ga;tidak
lg;sedang
udh;sudah
luchu;lucu
pake;pakai
baguss;bagus
lucuuuu;lucu
bgt;banget
jd;jadi
aja;saja
ajah;saja
aja;saja
abes;habis
duhh;duh
liat;lihat
sedihhh;sedih
yeee;ya
syang;sayang
pinter;pintar
ngasi;mengasih
liat;lihat
gasih;tidak sih
qta;kita
mo;mau
nda;indak
sm;sama
cb;coba
anak2;anak-anak
pengen;pengin
naaaak;nak
jgn;jangan
astagaa;astaga
ngakak;mengakak
akuuu;aku
astafirullah;astagfirullah
msuk;masuk
peragain;peragakan
shayyy;say
anjaayy;anjay
shay;say
ga;tidak
ngilerrrr;mengiler
trus;kemudian
d;di
jgn;jangan
shay;say
bayangin;bayangkan
gak;tidak
woyyy;woy
ga;tidak
jg;juga
skrg;sekarang
ga;tidak
shaaaay;say
hempaass;hempas
dtg;datang
sayyy;say
bener;benar
tar;entar
kek;kayak
gini;begini
jgan;jangan
shayy;say
syantiek;cantik
njay;anjay
hehh;eh
temen;teman
qt;kita
cantik2;cantik-cantik
kam;kamu
liat;lihat
baguss;bagus
bngt;banget
saya;saya 
elu;lu
yg;yang
nggak;tidak
inget;ingat
ingeet;ingat
inget;ingat
ga;tidak
sblh;sebelah
saya;saya
sblh;sebelah
nyaa;nya
gag;tidak
nawarin;menawari
ni;ini
amiiiiin;amin
tetep;tetap
jauhhh;jauh
udh;sudah
bgtttt;banget
baguss;bagus
waaahhh;wah
gini;begini
yah;ya
ajakin;mengajak
ntar;entar
gak;tidak
mntn;mantan
dlm;dalam
yaa;ya
ade;adek
liatnya;lihatnya
pd;pada
ngakak;mengakak
ngakak;mengakak
ihhh;ih
aje;saja
luhhh;lu
nyet;monyet
yooookkk;yuk
yg;yang
saya;saya
mksd;maksud
yg;yang
d;di
kyk;kayak
jrnk;jarang
"jelas""";jelas-jelas
cow;cowok
kayax;kayak
km;kamu
yg;yang
dblkng;dibelakang
mksd;maksud
saya;saya
ngapain;mengapai
anjirr;anjir
mirippp;mirip
sangattt;sangat
iyap;iya
mayann;lumayan
indo;indonesia
ngikutin;mengikuti
bener;benar
autuhh;tau tuh
ga;tidak
seneng;senang
ae;saja
atutt;takut
ga;tidak
ama;sama
kyk;kayak
bgt;banget
mirippp;mirip
bgtttt;banget
kek;kayak
gini;begini
ketara;tertara
bgt;banget
yg;yang
blg;bilang
kek;kayak
giniii;begini
looo;loh
bgt;banget
sma;sama
g;tidak
liat;lihat
bnget;banget
ma;sama
cntik;cantik
pingin;pengin
lgsung;langsung
bgt;banget
mbaaass;mbak
bund;bunda
g;tidak
tetep;tetap
bangeeettt;banget
almh;almarhumah
temenkuuh;temanku
mmg;memang
suami'y;suaminya
alm;almarhum
ori;orisinal
bgt;banget
bgt;banget
bngeeeetttt;banget
tp;tapi
y;ya
dr;dari
sm;sama
yg;yang
y;ya
entr;entar
kyax;kayak
ap;apa
ea;ya
cuantikkk;cantik
mksdnya;maksudnya
yg;yang
cwe;cewek
aja;saja
klo;kalau
yg;yang
cwo;cowok
aja;saja
gak;tidak
namain;namai
ga;tidak
aja;saja
ato;atau
ato;atau
ato;atau
ato;atau
ato;atau
ato;atau
ato;atau
ato;atau
kaaaaaaaaaakkkkkkkkkkk;kak
ato;atau
aja;saja
aja;saja
kasi;kasih
aj;saja
klo;kalau
kucing'y;kucingnya
nama'in;namai
panggilan'ya;panggilannya
klo;kalau
kucing'y;kucingnya
nama'in;namai
panggilan'y;panggilannya
kereen;keren
gak;tidak
ka;kak
utk;untuk
yg;yang
cwo;cowok
klo;kalau
cwe;cewek
z;saja
aja;saja
aja;saja
kalw;kalau
beneran;benaran
gt;begitu
gimana;bagaimana
yg;yang
tips2;tips-tips
serem;seram
serem;seram
tp;tapi
ttp;tetap
ka;kak
alu;aku
bgt;banget
pake;pakai
aja;saja
ngerrrriiii;ngeri
tetep;tetap
saranin;sarankan
pake;pakai
udah;sudah
keliatan;kelihatan
aja;saja
karna;karena
ngga;tidak
bener2;benar-benar
gak;tidak
nyesel;menyesal
ayooo;ayo
aja;saja
saya;saya
gini;begini
model2;model-model
dgn;dengan
utk;untuk
bener;benar
ngriii;mengiri
amatt;amat
tetep;tetap
smpai;sampai
orang2;orang-orang
cantikkkk;cantik
ngelahirin;melahirkan
paksain;memaksakan
biasaa;biasa
pengen;pengin
besarin;membesarkan
hub;hubungi
aja;saja
bgt;banget
pake;pakai
kox;kok
gak;tidak
pake;pakai
kaka;kakak
bener;benar
yg;yang
kaka;kakak
saranin;sarankan
gak;tidak
ka;kak
bner;benar
kaka;kakak
saranin;sarankan
bner;benar
makasih;terima kasih
yah;ya
ka;kak
wihhh;wih
tetep;tetap
ga;tidak
th;teh
tmbah;tambah
cntikk;cantik
pkee;pakai
pake;pakai
ka;kak
aamiin;amin
gini;begini
pake;pakai
sllu;selalu
biasaa;biasa
yaa;ya
cantiikkkk;cantik
bgttt;banget
klo;kalau
smga;semoga
smkin;semakin
bnyk;banyak
amiiiiinnn;amin
ndak;indak
bgmna;bagaimana
ssorg;seseorang
d;di
hdpn;hadapan
yg;yang
tsb;tersebut
dg;dengan
smua;semua
liat;lihat
foto2;foto-foto
yg;yang
yg;yang
aminn;amin
dg;dengan
smakin;semakin
mnambh;menambah
ktaatan;ketaatan
pd;pada
pake;pakai
jd;jadi
gak;tidak
lg;sedang
jd;jadi
pede;percaya diri
skrng;sekarang
mksh;terima kasih
silahkan;silakan
yg;yang
yg;yang
rekomendain;rekomendasikan
kaka;kakak
makasih;terima kasih
cntik;cantik
bngt;banget
trussss;kemudian
yah;ya
tp;tapi
blm;belum
tdk;tidak
yukk;yuk
cpt;cepat
kmi;kami
kakakuuu;kakakku
aamiin;amin
bgt;banget
yukk;yuk
ngalir;mengalir
kemudians;kemudian
lohh;loh
bangt;banget
ga;tidak
ga;tidak
karna;karena
cepet;cepat
pesen;pesan
bgt;banget
pengen;pengin
gak;tidak
beneran;benaran
ga;tidak
nyesel;menyesal
rekomendasiin;merekomendasikan
kaka;kakak
kaka;kakak
gak;tidak
nyesel;menyesal
udah;sudah
rekomendasiin;merekomendasikan
ga;tidak
pede;percaya diri
makasih;terima kasih
boong;bohong
ktmu;ketemu
ga;tidak
nyangka;menyangka
pake;pakai
hub;hubungi
makasih;terima kasih
ksh;kasih
jd;jadi
gak;tidak
lg;sedang
pake;pakai
mksh;terima kasih
utk;untuk
jgn;jangan
yah;ya
yg;yang
dr;dari
bkn;bukan
prwtn;perawatan
jg;juga
pake;pakai
ak;aku
udh;sudah
pake;pakai
byk;banyak
yg;yang
udh;sudah
ngebuktiin;membuktikan
yah;ya
dr;dari
ak;aku
prawatan;perawatan
utk;untuk
lbh;lebih
mbk;mbak
aj;saja
y;ya
mkin;makin
cntk;cantik
sj;saja
yg;yang
gak;tidak
mo;mau
pnya;punya
gak;tidak
mslh;masalah
dimao;dimau
gak;tidak
hrs;harus
klo;kalau
cm;cuma
utk;untuk
dapetin;mendapati
wjh;wajah
pantes;pantas
dijadiin;dijadikan
prwtn;perawatan
dr;dari
udah;sudah
yg;yang
yg;yang
ny;nya
uda;sudah
pd;pada
pake;pakai
silahkn;silakan
dl;dulu
ak;aku
ajha;saja
utk;untuk
silahkan;silakan
kaka;kakak
yuuk;yuk
kasiatnya;khasiatnya
iyah;iya
nyaranin;menyarankan
rekomendasiin;merekomendasikan
udah;sudah
"minyak""an";minyak-minyakan
gitu;begitu
ga;tidak
pake;pakai
bgt;banget
gak;tidak
suksess;sukses
slalu;selalu
ka;kak
jg;juga
gak;tidak
seneng;senang
ka;kak
makasih;terima kasih
udh;sudah
rekomendasiin;merekomendasikan
pede;percaya diri
ga;tidak
nyangka;menyangka
prodak;produk
prodak;produk
ga;tidak
nyesel;menyesal
ga;tidak
trasa;terasa
minpi;mimpi
bner2;benar-benar
gak;tidak
nyangka;menyangka
gak;tidak
mutihin;memutihkan
ak;aku
gak;tidak
ka;kak
gak;tidak
makasih;terima kasih
gak;tidak
th;tahun
udh;sudah
jd;jadi
th;tahun
msh;masih
smster;semester
sdh;sudah
th;tahun
udah;sudah
woww;wow
ntar;entar
thn;tahun
emang;memang
th;tahun
uga;juga
kmren;kemarin
lucuu;lucu
ucull;lucu
aamiin;amin
"ngomong""";ngomong-ngomong
thn;tahun
udehh;sudah
sampe;sampai
skrang;sekarang
ucul;lucu
bnr;benar
lucuk;lucu
smg;semoga
lucuu;lucu
lucuuu;lucu
bgt;banget
bkn;bukan
yaaa;ya
jan;jangan
jd;jadi
yaa;ya
thn;tahun
masi;masih
pakek;pakai
pake;pakai
kk;kakak
pakek;pakai
orng;orang
orng;orang
pakek;pakai
yah;ya
kk;kakak
ka;kak
klo;kalau
pke;pakai
cntik;cantik
syngnya;sayangnya
klo;kalau
bnr;benar
pake;pakai
tauu;tau
dipermainin;dipermainkan
bngt;banget
kl;kalau
kasiatnya;khasiatnya
kocakkk;kocak
pake;pakai
hijabb;hijab
dasarrr;dasar
ajaaa;saja
tp;tapi
jgn;jangan
waaaaw;wow
bngt;banget
kk;kakak
klau;kalau
cannnnntikkkkkkk;cantik
bangettt;banget
mukax;mukanya
gitu;begitu
cantikx;cantiknya
fatanik;fanatik
bngt;banget
mba;mbak
jgn;jangan
pake;pakai
protestin;protestan
bkn;bukan
protestin;protestan
kakau;kalau
yg;yang
kk;kakak
slh;salah
marh;marah
kk;kakak
bener;benar
ka;kak
pk;pakai
ka;kak
emngnya;memangnya
pakek;pakai
cantiknyaa;cantiknya
klo;kalau
pke;pakai
darpada;daripada
bgt;banget
cooooooocok;cocok
klw;kalau
pkk;pakai
jgn;jangan
ka;kak
kaka;kakak
kaka;kakak
sling;saling
pake;pakai
ga;tidak
kk;kakak
pake;pakai
agama'ny;agamanya
yg;yang
bilng;bilang
tp;tapi
aq;aku
gk;tidak
prcy;percaya
klw;kalau
kk;kakak
kk;kakak
org;orang
pantes;pantas
emang;memang
tetep;tetap
lurusin;meluruskan
kk;kakak
pake;pakai
gak;tidak
gimana;bagaimana
gak;tidak
aja;saja
aja;saja
tp;tapi
bgt;banget
d;di
pake;pakai
aja;saja
biri;biru
bgt;banget
d;di
pake;pakai
jd;jadi
yg;yang
nti;nanti
aamiin;amin
kaa;kak
gmn;bagaimana
blm;belum
prnh;pernah
yg;yang
pake;pakai
luco;lucu
woow;wow
aq;aku
jg;juga
ultha;ultah
aja;saja
yuuu;yuk
batikk;batik
alloh;allah
q;ku
jdi;jadi
gemes;gemas
yg;yang
aja;saja
pake;pakai
arab2;arab-arab
sm;sama
yg;yang
arab2;arab-arab
gitu;begitu
kl;kalau
udah;sudah
yg;yang
pake;pakai
aja;saja
makasi;terima kasih
donk;dong
aja;saja
jd;jadi
yg;yang
blm;belum
dipake;dipakai
ama;sama
anak2;anak-anak
yg;yang
aja;saja
syg;sayang
udh;sudah
ga;tidak
lg;sedang
udh;sudah
luchu;lucu
pake;pakai
baguss;bagus
lucuuuu;lucu
bgt;banget
jd;jadi
aja;saja
ajah;saja
aja;saja
abes;habis
duhh;duh
liat;lihat
sedihhh;sedih
yeee;ya
syang;sayang
pinter;pintar
ngasi;mengasih
liat;lihat
gasih;tidak sih
qta;kita
mo;mau
nda;indak
sm;sama
cb;coba
anak2;anak-anak
pengen;pengin
naaaak;nak
jgn;jangan
astagaa;astaga
ngakak;mengakak
akuuu;aku
astafirullah;astagfirullah
msuk;masuk
peragain;peragakan
shayyy;say
anjaayy;anjay
shay;say
ga;tidak
ngilerrrr;mengiler
trus;kemudian
d;di
jgn;jangan
shay;say
bayangin;bayangkan
gak;tidak
woyyy;woy
ga;tidak
jg;juga
skrg;sekarang
ga;tidak
shaaaay;say
hempaass;hempas
dtg;datang
sayyy;say
bener;benar
tar;entar
kek;kayak
gini;begini
jgan;jangan
shayy;say
syantiek;cantik
njay;anjay
hehh;eh
temen;teman
qt;kita
cantik2;cantik-cantik
kam;kamu
liat;lihat
baguss;bagus
bngt;banget
saya;saya 
elu;lu
yg;yang
nggak;tidak
inget;ingat
ingeet;ingat
inget;ingat
ga;tidak
sblh;sebelah
saya;saya
sblh;sebelah
nyaa;nya
gag;tidak
nawarin;menawari
ni;ini
amiiiiin;amin
tetep;tetap
jauhhh;jauh
udh;sudah
bgtttt;banget
baguss;bagus
waaahhh;wah
gini;begini
yah;ya
ajakin;mengajak
ntar;entar
gak;tidak
mntn;mantan
dlm;dalam
yaa;ya
ade;adek
liatnya;lihatnya
pd;pada
ngakak;mengakak
ngakak;mengakak
ihhh;ih
aje;saja
luhhh;lu
nyet;monyet
yooookkk;yuk
yg;yang
saya;saya
mksd;maksud
yg;yang
d;di
kyk;kayak
jrnk;jarang
"jelas""";jelas-jelas
cow;cowok
kayax;kayak
km;kamu
yg;yang
dblkng;dibelakang
mksd;maksud
saya;saya
ngapain;mengapai
anjirr;anjir
mirippp;mirip
sangattt;sangat
iyap;iya
mayann;lumayan
indo;indonesia
ngikutin;mengikuti
bener;benar
autuhh;tau tuh
ga;tidak
seneng;senang
ae;saja
atutt;takut
ga;tidak
ama;sama
kyk;kayak
bgt;banget
mirippp;mirip
bgtttt;banget
kek;kayak
gini;begini
ketara;tertara
bgt;banget
yg;yang
blg;bilang
kek;kayak
giniii;begini
looo;loh
bgt;banget
sma;sama
g;tidak
liat;lihat
bnget;banget
ma;sama
cntik;cantik
pingin;pengin
lgsung;langsung
bgt;banget
mbaaass;mbak
bund;bunda
g;tidak
tetep;tetap
bangeeettt;banget
almh;almarhumah
temenkuuh;temanku
mmg;memang
suami'y;suaminya
alm;almarhum
ori;orisinal
bgt;banget
bgt;banget
bngeeeetttt;banget
tp;tapi
y;ya
dr;dari
sm;sama
yg;yang
y;ya
entr;entar
kyax;kayak
ap;apa
ea;ya
cuantikkk;cantik
mksdnya;maksudnya
yg;yang
cwe;cewek
aja;saja
klo;kalau
yg;yang
cwo;cowok
aja;saja
gak;tidak
namain;namai
ga;tidak
aja;saja
ato;atau
ato;atau
ato;atau
ato;atau
ato;atau
ato;atau
ato;atau
ato;atau
kaaaaaaaaaakkkkkkkkkkk;kak
ato;atau
aja;saja
aja;saja
kasi;kasih
aj;saja
klo;kalau
kucing'y;kucingnya
nama'in;namai
panggilan'ya;panggilannya
klo;kalau
kucing'y;kucingnya
nama'in;namai
panggilan'y;panggilannya
kereen;keren
gak;tidak
ka;kak
utk;untuk
yg;yang
cwo;cowok
klo;kalau
cwe;cewek
z;saja
aja;saja
aja;saja
kalw;kalau
beneran;benaran
gt;begitu
gimana;bagaimana
yg;yang
tips2;tips-tips
serem;seram
serem;seram
tp;tapi
ttp;tetap
ka;kak
alu;aku
bgt;banget
pake;pakai
aja;saja
ngerrrriiii;ngeri
tetep;tetap
saranin;sarankan
pake;pakai
udah;sudah
keliatan;kelihatan
aja;saja
karna;karena
ngga;tidak
bener2;benar-benar
gak;tidak
nyesel;menyesal
ayooo;ayo
aja;saja
saya;saya
gini;begini
model2;model-model
dgn;dengan
utk;untuk
bener;benar
ngriii;mengiri
amatt;amat
tetep;tetap
smpai;sampai
orang2;orang-orang
cantikkkk;cantik
ngelahirin;melahirkan
paksain;memaksakan
biasaa;biasa
pengen;pengin
besarin;membesarkan
hub;hubungi
aja;saja
bgt;banget
pake;pakai
kox;kok
gak;tidak
pake;pakai
kaka;kakak
bener;benar
yg;yang
kaka;kakak
saranin;sarankan
gak;tidak
ka;kak
bner;benar
kaka;kakak
saranin;sarankan
bner;benar
makasih;terima kasih
yah;ya
ka;kak
wihhh;wih
tetep;tetap
ga;tidak
th;teh
tmbah;tambah
cntikk;cantik
pkee;pakai
pake;pakai
ka;kak
aamiin;amin
gini;begini
pake;pakai
sllu;selalu
biasaa;biasa
yaa;ya
cantiikkkk;cantik
bgttt;banget
klo;kalau
smga;semoga
smkin;semakin
bnyk;banyak
amiiiiinnn;amin
ndak;indak
bgmna;bagaimana
ssorg;seseorang
d;di
hdpn;hadapan
yg;yang
tsb;tersebut
dg;dengan
smua;semua
liat;lihat
foto2;foto-foto
yg;yang
yg;yang
aminn;amin
dg;dengan
smakin;semakin
mnambh;menambah
ktaatan;ketaatan
pd;pada
lbih;lebih
krus;kurus
dri;dari
pda;pada
bner;benar
gaa;tidak
drpd;daripada
ka;kak
bangeet;banget
kk;kakak
jg;juga
bgt;banget
liat;lihat
aja;saja
bgt;banget
elaaaahhhh;alah
kereenn;keren
cogan;cowok ganteng
cogan;cowok ganteng
tap8;tapi
imoet;imut
ihh;ih
nggak;tidak
bosen;bosan
pandanginya;memandanginya
kakanya;kakaknya
yg;yang
kenaliiin;kenalkan
sm;sama
qu;ku
banyak2;banyak-banyak
yo;ya
tauuu;tau
awk;awak
lgi;sedang
suko;suka
sm;sama
org;orang
niih;nih
kk;kakak
bgtt;banget
sihhhh;sih
udh;sudah
"sebaik""";sebaik-baik
org;orang
org;orang
ga;tidak
ngomentarin;mengomentari
org;orang
laen;lain
yg;yang
blm;belum
bener;benar
ajah;saja
udh;sudah
dpt;dapat
jd;jadi
"masing""";masing-masing
ikh;ih
kyk;kayak
gt;begitu
g;tidak
pantes;pantas
pake;pakai
yg;yang
g;tidak
gmn;bagaimana
klo;kalau
smpe;sampai
nnti;nanti
yg;yang
ngomongnya;mengomongnya
gt;begitu
tu;itu
segtu;sebegitu
ngebenci;membenci
ny;nya
bakar2in;bakar-bakari
slmt;selamat
ank;anak
smg;semoga
sm;sama
km;kamu
ttp;tetap
km;kamu
padhe;pakde
km;kamu
yg;yang
yya;ya
yya;ya
atw;atau
klo;kalau
jgn;jangan
org;orang
yg;yang
dosa2mu;dosa-dosamu
org;orang
yg;yang
maafin;memaafi
gabisa;tidak bisa
jd;jadi
temen;teman
ky;kaya
muke;muka
gile;gila
pede;percaya diri
bgd;banget
ujung2;ujung-ujung
jd;jadi
lg;sedang
d;di
aj;saja
dalem2;dalam-dalam
kgak;kagak
d;di
bahas2;bahas-bahas
jg;juga
ud;sudah
k;ke
dy;dia
skrg;sekarang
mslh;masalah
woles;selow
aj;saja
jd;jadi
spt;seperti
km;kamu
hianatin;khianati
dr;dari
org;orang
yg;yang
tdk;tidak
halangin;halangi
dg;dengan
iyuh;ih
bngt;banget
knp;kenapa
iyuuuhhhh;ih
gaje;tidak jelas
jgn2;jangan-jangan
gk;tidak
gabakal;tidak bakal
gitu;begitu
aja;saja
yg;yang
org;orang
jga;juga
klo;kalau
emang;memang
adapin;menghadapi
ga;tidak
bnyak;banyak
emang;memang
ngehakimi;menghakimi
saya;saya
yg;yang
th;tahun
aja;saja
ngerti;mengerti
gmna;bagaimana
ngejuangin;memperjuangkan
gimana;bagaimana
dipojokin;dipojokkan
aja;saja
kek;kayak
idup;hidup
udah;sudah
bener;benar
saya;saya
yg;yang
bacotin;bacoti
udah;sudah
berati;berarti
dripada;daripada
kebangetak;kebangetan
klo;kalau
gak;tidak
tangkep;tangkap
jg;juga
d;di
gitu;begitu
dipake;dipakai
bt;buat
ngomong;mengomong
gitu;begitu
sadis2;sadis-sadis
cowo;cowok
yg;yang
ga;tidak
maksir;menaksir
udh;sudah
tp;tapi
tetep;tetap
hebatt;hebat
nerima;menerima
yaa;ya
liht;lihat
dr;dari
pndang;pandang
aja;saja
sbagai;sebagai
pmbelajaran;pembelajaran
jugaa;juga
orng;orang
yg;yang
bgt;banget
bgt;banget
gak;tidak
ngejelek;menjelekkan
yg;yang
maslah;masalah
pake;pakai
mmperbaiki;memperbaiki
aja;saja
ud;sudah
jd;jadi
krn;karena
klo;kalau
utk;untuk
temenan;berteman
sm;sama
mb;mbak
aja;saja
yg;yang
nahan;menahan
yg;yang
jd;jadi
jd;jadi
yg;yang
ga;tidak
pnya;punya
ga;tidak
pny;punya
ga;tidak
pny;punya
udh;sudah
ngerebut;merebut
yg;yang
ga;tidak
pny;punya
dr;dari
kafeh;kafe
remang2;remang-remang
mlh;malah
nusuk;menusuk
dr;dari
tinggl;tinggal
dirmh;dirumah
lg;sedang
mlh;malah
yg;yang
dr;dari
tp;tapi
gak;tidak
ngaku;mengaku
gmn;bagaimana
mbaa;mbak
gak;tidak
mnta;minta
klo;kalau
gt;begitu
byk;banyak
yg;yang
temen;teman
nangis;menangis
aja;saja
pantes;pantas
lbh;lebih
dri;dari
knp;kenapa
yg;yang
kale;kali
yg;yang
iyuuhhh;ih
yg;yang
cwo;cowok
udah;sudah
yg;yang
udah;sudah
mnjadi;menjadi
ktika;ketika
dipuja2;dipuja-puja
ga;tidak
kam;kamu
cwe;cewek
smoga;semoga
km;kamu
ngrasain;merasai
yg;yang
rasain;rasai
tp;tapi
aja;saja
nonton;menonton
aja;saja
org;orang
pesen;pesan
aja;saja
karna;karena
ngurusin;mengurusi
yeeee;ya
ityl;itil
hbs;habis
gara2;gara-gara
kyak;kayak
marah2;marah-marah
ma;sama
saya;saya
emang;memang
wenak;enak
sukak;suka
ngarang;mengarang
bnr;benar
donk;dong
gara2;gara-gara
bgt;banget
hdp;hidup
ngga;tidak
kek;kayak
gini;begini
ngehina;menghina
aja;saja
jg;juga
kelas'a;kelasnya
hadeeehhh;aduh
yg;yang
gak;tidak
jing;anjing
lg;sedang
"abal""";abal-abal
"kecil""";kecil-kecil
ori;orisinal
bgt;banget
smua;semua
yg;yang
gtu;begitu
kenceng;kencang
jd;jadi
jd;jadi
kek;kayak
"gtu""an";begitu-gituan
klo;kalau
gmanapun;bagaimanapun
tetep;tetap
aja;saja
trims;terima kasih
yah;ya
kr;kira
td;tadi
nenek2;nenek-nenek
taux;taunya
cepet;cepat
pantes;pantas
aja;saja
liat;lihat
urat2nya;urat-uratnya
ketarik;tertarik
emang;memang
ngorbanin;mengorbankan
eksprsi;ekspresi
gitulah;begitulah
klo;kalau
yg;yang
gtu;begitu
ga;tidak
ga;tidak
kyk;kayak
klo;kalau
yg;yang
"foto""";foto-foto
mamas;mas
klo;kalau
ngilangin;menghilangkan
jg;juga
ajah;saja
gada;tidak ada
bandingin;bandingkan
yg;yang
tua2;tua-tua
ajah;saja
bgt;banget
kasian;kasihan
cantik2;cantik-cantik
yg;yang
ketarik;tertarik
pake;pakai
kemudian2an;kemudian-kemudianan
cepet;cepat
udah;sudah
udah;sudah
gak;tidak
liat2;lihat-lihat
sampe;sampai
liatnya;lihatnya
waduhh;waduh
"bawa""";bawa-bawa
badingkan;membandingkan
mba;mbak
gtu;begitu
yah;ya
sampe;sampai
gmana;bagaimana
gtu;begitu
kyk;kayak
aja;saja
sy;saya
udah;sudah
ga;tidak
yah;ya
aja;saja
klo;kalau
klo;kalau
aja;saja
udah;sudah
yahh;ya
bgmana;bagaimana
udah;sudah
aja;saja
ga;tidak
sy;saya
ngakak;mengakak
sy;saya
ga;tidak
ngehina;menghina
mba;mbak
aja;saja
yg;yang
gini;begini
yg;yang
ga;tidak
ngurus;mengurus
ga;tidak
org;orang
klo;kalau
yg;yang
trus;kemudian
yg;yang
yah;ya
lanjutin;lanjutkan
aja;saja
org;orang
yg;yang
byk;banyak
krn;karena
org;orang
yg;yang
byk;banyak
org;orang
yg;yang
ributin;meributkan
cwo;cowok
cwo;cowok
brantem;berantem
gara2;gara-gara
belain;membela
kek;kayak
gitu;begitu
keliatan;kelihatan
lipetan;lipatan
kek;kayak
gitu;begitu
keliatan;kelihatan
lipetan;lipatan
ngomong;mengomong
yg;yang
g;tidak
ampuun;ampun
yya;ya
sya;saya
mba;mbak
fto;foto
sm;sama
"nenek""";nenek-nenek
bneraan;benaran
kageeet;kaget
sangaaattt;sangat
rmbuut;rambut
nenek2;nenek-nenek
km;kamu
nt;nanti
walik;balik
sma;sama
oma2;oma-oma
